Downloads 3.0.0 3.0.1 3.0.2 3.1.0 3.1.1 3.1.2 3.1.3
2017-10 124 0 0 0 0 0 0
2017-11 113 7 0 0 0 0 0
2017-12 10 39 0 0 0 0 0
2018-01 8 48 0 0 0 0 0
2018-02 11 69 0 0 0 0 0
2018-03 4 47 60 2 0 0 0 0
2018-04 1 4 57 20 0 0 0
2018-05 3 5 51 12 0 0 0
2018-06 3 5 81 23 0 0 0
2018-07 0 4 33 20 0 0 0
2018-08 1 3 14 17 0 0 0
2018-09 4 8 55 32 0 0 0
2018-10 6 10 85 65 0 0 0
2018-11 2 1 7 103 13 0 0
2018-12 2 1 10 69 21 0 0
2019-01 1 1 10 53 48 0 0
2019-02 1 0 0 70 42 0 0
2019-03 0 0 14 88 35 0 0
2019-04 0 0 9 48 20 0 0
2019-05 1 1 9 55 49 0 0
2019-06 2 0 5 21 64 5 0
2019-07 1 0 0 19 41 8 0
2019-08 0 1 0 16 18 10 0
2019-09 1 2 0 15 57 9 0
2019-10 3 2 1 22 57 27 0
2019-11 0 2 0 11 51 82 0
2019-12 0 0 0 4 25 56 9
2020-01 0 2 0 7 43 59 17
2020-02 0 1 1 2 7 30 6
2020-03 0 1 0 9 35 140 35
