Downloads 3.0.0 3.0.1 3.0.2 3.1.0 3.1.1 3.1.2 3.1.3 3.2.0 3.2.1 3.2.2 3.2.3
2017-10 124 0 0 0 0 0 0 0 0 0 0
2017-11 113 7 0 0 0 0 0 0 0 0 0
2017-12 10 39 0 0 0 0 0 0 0 0 0
2018-01 8 48 0 0 0 0 0 0 0 0 0
2018-02 11 69 0 0 0 0 0 0 0 0 0
2018-03 4 47 60 2 0 0 0 0 0 0 0
2018-04 1 4 57 20 0 0 0 0 0 0 0
2018-05 3 5 51 12 0 0 0 0 0 0 0
2018-06 3 5 81 23 0 0 0 0 0 0 0
2018-07 0 4 33 20 0 0 0 0 0 0 0
2018-08 1 3 14 17 0 0 0 0 0 0 0
2018-09 4 8 55 32 0 0 0 0 0 0 0
2018-10 6 10 85 65 0 0 0 0 0 0 0
2018-11 2 1 7 103 13 0 0 0 0 0 0
2018-12 2 1 10 69 21 0 0 0 0 0 0
2019-01 1 1 10 53 48 0 0 0 0 0 0
2019-02 1 0 0 70 42 0 0 0 0 0 0
2019-03 0 0 14 88 35 0 0 0 0 0 0
2019-04 0 0 9 48 20 0 0 0 0 0 0
2019-05 1 1 9 55 49 0 0 0 0 0 0
2019-06 2 0 5 21 64 5 0 0 0 0 0
2019-07 1 0 0 19 41 8 0 0 0 0 0
2019-08 0 1 0 16 18 10 0 0 0 0 0
2019-09 1 2 0 15 57 9 0 0 0 0 0
2019-10 3 2 1 22 57 27 0 0 0 0 0
2019-11 0 2 0 11 51 82 0 0 0 0 0
2019-12 0 0 0 4 25 56 9 0 0 0 0
2020-01 0 2 0 7 43 59 17 0 0 0 0
2020-02 0 1 1 2 7 30 6 0 0 0 0
2020-03 0 1 0 9 35 140 35 0 0 0 0
2020-04 0 1 0 6 33 98 28 0 0 0 0
2020-05 1 0 0 2 16 66 18 0 0 0 0
2020-06 0 1 0 3 28 81 14 0 0 0 0
2020-07 2 0 0 5 20 65 40 0 0 0 0
2020-08 0 0 0 8 21 33 18 0 0 0 0
2020-09 0 0 0 5 33 47 37 0 0 0 0
2020-10 0 1 2 7 48 103 32 0 0 0 0
2020-11 0 0 6 9 37 106 194 0 0 0 0
2020-12 244 103 62 83 74 158 387 0 0 0 0
2021-01 391 100 41 50 83 162 285 23 0 0 0
2021-02 116 0 0 17 34 50 186 19 0 0 0
2021-03 53 42 55 21 22 153 273 57 0 0 0
2021-04 77 42 24 32 31 77 205 32 0 0 0
2021-05 66 24 55 23 21 48 100 57 0 0 0
2021-06 25 13 63 7 9 69 319 74 0 0 0
2021-07 41 22 72 21 14 36 57 30 0 0 0
2021-08 38 9 46 15 23 23 81 42 0 0 0
2021-09 18 13 12 0 8 4 70 77 2 0 0
2021-10 90 94 46 31 35 308 353 37 0 0 0
2021-11 76 68 57 33 38 184 231 140 0 0 0
2021-12 31 17 42 11 12 25 51 92 6 0 0
2022-01 123 102 50 41 45 46 53 68 14 0 0
2022-02 109 80 53 37 67 59 89 65 33 0 0
2022-03 44 27 54 21 21 21 47 94 25 0 0
2022-04 9 18 32 7 7 13 22 94 29 0 0
2022-05 12 2 25 1 8 0 28 52 26 0 0
2022-06 11 6 4 3 6 8 33 98 31 0 0
2022-07 19 0 0 1 1 3 23 75 46 0 0
2022-08 11 4 3 4 3 15 21 114 133 0 0
2022-09 3 0 0 0 0 0 9 57 23 0 0
2022-10 2 2 0 6 7 0 30 65 32 0 0
2022-11 6 8 3 4 10 3 8 63 85 0 0
2022-12 5 3 0 4 4 0 2 38 64 3 0
2023-01 12 10 0 10 10 0 0 13 37 11 0
2023-02 18 16 3 19 18 3 6 15 54 15 0
2023-03 13 11 5 10 13 5 4 28 79 18 0
2023-04 9 9 0 9 10 1 1 24 71 29 0
2023-05 0 0 0 4 2 7 7 33 113 22 0
2023-06 1 0 0 2 0 0 1 22 52 12 0
2023-07 0 0 0 0 0 0 1 25 62 20 0
2023-08 1 0 0 0 0 0 0 8 46 12 0
2023-09 1 1 1 3 2 2 3 18 62 5 0
2023-10 1 1 1 1 1 1 2 21 50 17 0
2023-11 1 0 2 1 0 0 4 8 40 67 0
2023-12 2 3 2 4 6 5 5 5 25 70 0
2024-01 1 0 2 0 0 0 1 0 18 52 0
2024-02 1 0 0 0 0 0 0 1 40 70 0
2024-03 1 0 0 1 1 1 1 0 19 92 0
2024-04 6 6 4 11 9 7 9 8 23 65 0
2024-05 0 0 2 1 1 1 1 5 34 76 0
2024-06 3 1 1 3 2 2 2 0 15 132 0
2024-07 105 24 19 41 37 39 16 45 75 226 0
2024-08 66 2 2 4 2 0 2 1 3 10 153
2024-09 1 1 0 0 1 0 1 3 13 46 18
2024-10 0 0 0 0 0 0 2 2 16 48 16
2024-11 2 1 0 0 0 0 0 0 18 86 15
2024-12 0 0 0 1 0 0 0 1 21 94 34 
